# Delays, Delay errors, Counts
4.896739475292190669e+00,3.531119739979997406e-04,1.100000000000000000e+01
4.917531848309068643e+00,3.531219621915802323e-04,1.600000000000000000e+01
4.938324221325947505e+00,3.531319940049309006e-04,1.600000000000000000e+01
4.959116594342825479e+00,3.531420694343344498e-04,1.800000000000000000e+01
4.979908967359703453e+00,3.531521884760577008e-04,1.400000000000000000e+01
5.000701340376582316e+00,3.531623511263519161e-04,2.000000000000000000e+01
5.021493713393460290e+00,3.531725573814524749e-04,1.700000000000000000e+01
5.042286086410339152e+00,3.531828072375791435e-04,1.300000000000000000e+01
5.063078459427217126e+00,3.531931006909359676e-04,1.000000000000000000e+01
5.083870832444095988e+00,3.532034377377112175e-04,1.700000000000000000e+01
5.104663205460973963e+00,3.532138183740774970e-04,1.000000000000000000e+01
5.125455578477851937e+00,3.532242425961917972e-04,1.400000000000000000e+01
5.146247951494730799e+00,3.532347104001953885e-04,1.600000000000000000e+01
5.167040324511608773e+00,3.532452217822138201e-04,2.100000000000000000e+01
5.187832697528487635e+00,3.532557767383570288e-04,1.700000000000000000e+01
5.208625070545365610e+00,3.532663752647192306e-04,1.800000000000000000e+01
5.229417443562244472e+00,3.532770173573789745e-04,1.300000000000000000e+01
5.250209816579122446e+00,3.532877030123994142e-04,1.400000000000000000e+01
5.271002189596000420e+00,3.532984322258276568e-04,1.800000000000000000e+01
5.291794562612879282e+00,3.533092049936954683e-04,1.100000000000000000e+01
5.312586935629757257e+00,3.533200213120188935e-04,2.100000000000000000e+01
5.333379308646636119e+00,3.533308811767984191e-04,1.400000000000000000e+01
5.354171681663514093e+00,3.533417845840188649e-04,9.000000000000000000e+00
5.374964054680392067e+00,3.533527315296494382e-04,1.000000000000000000e+01
5.395756427697270929e+00,3.533637220096437341e-04,1.200000000000000000e+01
5.416548800714148904e+00,3.533747560199398973e-04,1.400000000000000000e+01
5.437341173731027766e+00,3.533858335564604063e-04,1.100000000000000000e+01
5.458133546747905740e+00,3.533969546151120183e-04,1.800000000000000000e+01
5.478925919764784602e+00,3.534081191917861492e-04,1.300000000000000000e+01
5.499718292781662576e+00,3.534193272823586566e-04,1.600000000000000000e+01
5.520510665798540550e+00,3.534305788826896228e-04,1.100000000000000000e+01
5.541303038815419413e+00,3.534418739886238431e-04,2.000000000000000000e+01
5.562095411832297387e+00,3.534532125959903917e-04,1.400000000000000000e+01
5.582887784849176249e+00,3.534645947006028930e-04,9.000000000000000000e+00
5.603680157866054223e+00,3.534760202982594672e-04,9.000000000000000000e+00
5.624472530882933086e+00,3.534874893847427305e-04,7.000000000000000000e+00
5.645264903899811060e+00,3.534990019558197408e-04,1.400000000000000000e+01
5.666057276916689034e+00,3.535105580072421061e-04,1.200000000000000000e+01
5.686849649933567896e+00,3.535221575347458761e-04,1.500000000000000000e+01
5.707642022950445870e+00,3.535338005340517048e-04,1.600000000000000000e+01
5.728434395967324733e+00,3.535454870008647422e-04,1.400000000000000000e+01
5.749226768984202707e+00,3.535572169308746882e-04,9.000000000000000000e+00
5.770019142001080681e+00,3.535689903197556847e-04,1.400000000000000000e+01
5.790811515017959543e+00,3.535808071631665861e-04,1.500000000000000000e+01
5.811603888034837517e+00,3.535926674567506345e-04,1.300000000000000000e+01
5.832396261051716380e+00,3.536045711961358388e-04,1.100000000000000000e+01
5.853188634068594354e+00,3.536165183769346496e-04,9.000000000000000000e+00
5.873981007085473216e+00,3.536285089947440678e-04,1.900000000000000000e+01
5.894773380102351190e+00,3.536405430451456983e-04,1.300000000000000000e+01
5.915565753119229164e+00,3.536526205237058591e-04,1.300000000000000000e+01
5.936358126136108027e+00,3.536647414259754181e-04,1.100000000000000000e+01
5.957150499152986001e+00,3.536769057474897933e-04,7.000000000000000000e+00
5.977942872169864863e+00,3.536891134837691158e-04,9.000000000000000000e+00
5.998735245186742837e+00,3.537013646303180121e-04,8.000000000000000000e+00
6.019527618203621699e+00,3.537136591826259844e-04,6.000000000000000000e+00
6.040319991220499674e+00,3.537259971361668138e-04,4.000000000000000000e+00
6.061112364237377648e+00,3.537383784863993739e-04,1.100000000000000000e+01
6.081904737254256510e+00,3.537508032287668713e-04,1.400000000000000000e+01
6.102697110271134484e+00,3.537632713586973338e-04,1.200000000000000000e+01
6.123489483288013346e+00,3.537757828716034478e-04,1.100000000000000000e+01
6.144281856304891321e+00,3.537883377628825042e-04,6.000000000000000000e+00
6.165074229321770183e+00,3.538009360279166689e-04,1.500000000000000000e+01
6.185866602338648157e+00,3.538135776620725498e-04,9.000000000000000000e+00
6.206658975355526131e+00,3.538262626607017926e-04,9.000000000000000000e+00
6.227451348372404993e+00,3.538389910191405393e-04,1.200000000000000000e+01
6.248243721389282967e+00,3.538517627327096441e-04,1.000000000000000000e+01
6.269036094406161830e+00,3.538645777967148369e-04,1.400000000000000000e+01
6.289828467423039804e+00,3.538774362064465604e-04,1.300000000000000000e+01
6.310620840439917778e+00,3.538903379571799158e-04,1.000000000000000000e+01
6.331413213456796640e+00,3.539032830441749336e-04,8.000000000000000000e+00
6.352205586473674614e+00,3.539162714626762490e-04,8.000000000000000000e+00
6.372997959490553477e+00,3.539293032079133183e-04,7.000000000000000000e+00
6.393790332507431451e+00,3.539423782751005272e-04,8.000000000000000000e+00
6.414582705524310313e+00,3.539554966594368659e-04,1.200000000000000000e+01
6.435375078541188287e+00,3.539686583561062541e-04,4.000000000000000000e+00
6.456167451558066261e+00,3.539818633602773786e-04,1.000000000000000000e+01
6.476959824574945124e+00,3.539951116671038013e-04,9.000000000000000000e+00
6.497752197591823098e+00,3.540084032717239057e-04,5.000000000000000000e+00
6.518544570608701960e+00,3.540217381692608418e-04,9.000000000000000000e+00
6.539336943625579934e+00,3.540351163548226352e-04,8.000000000000000000e+00
6.560129316642458797e+00,3.540485378235022954e-04,1.100000000000000000e+01
6.580921689659336771e+00,3.540620025703775445e-04,1.400000000000000000e+01
6.601714062676214745e+00,3.540755105905110884e-04,8.000000000000000000e+00
6.622506435693093607e+00,3.540890618789504000e-04,3.000000000000000000e+00
6.643298808709971581e+00,3.541026564307280444e-04,6.000000000000000000e+00
6.664091181726850444e+00,3.541162942408612995e-04,6.000000000000000000e+00
